None,mean_mz,mean_RT,mean_mz_round,profile_number_peaks,mean_above_blind_intens,target_matches,Ufid_1,Ufid_2,ISTD_matches,2021-11-29,2021-12-14,2022-01-05,2022-01-20,2022-01-24,2022-01-25,2022-01-26,2022-01-27,2022-01-28,2022-01-29,2022-01-30,2022-02-04,2022-02-19,2022-03-06,2022-03-21,2022-04-05,2022-04-20,2022-05-05,2022-05-20,2022-06-04,2022-06-19,2022-07-04,2022-07-19,2022-08-03,2022-08-18,2022-09-02
194,102.989333135504,275.0,102.99,14,inf,,102.99_275.0,102_275.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7479.040535725112,0.0,0.0,0.0,0.0,4314.745858396779,0.0,1800.2080621628584,0.0
197,102.989343607265,312.0,102.99,10,inf,,102.99_312.0,102_312.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3526.519729538046,0.0,0.0,0.0,0.0,2862.785533400262,2259.0481652974,0.0,0.0
199,103.038925718171,375.0,103.04,43,inf,,103.04_375.0,103_375.0,,0.0,7656.774196905615,2219.429829902975,0.0,0.0,0.0,0.0,0.0,0.0,2735.399492924417,0.0,9714.381874787703,2483.0651974105917,2690.9321446535414,577.5927794453291,7830.954933830654,0.0,5442.370872988528,0.0,776.17903581095,0.0,0.0,0.0,631.576452337625,0.0,0.0
200,103.038908865096,322.0,103.04,17,inf,,103.04_322.0,103_322.0,,1502.9268342918624,0.0,2187.595573581679,0.0,0.0,0.0,0.0,0.0,579.662149632875,0.0,0.0,3397.250359328525,0.0,1994.5058369157084,0.0,899.5838689104376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1794.2484996721876
201,103.038946824533,327.0,103.04,21,inf,,103.04_327.0,103_327.0,,1484.2391536606249,0.0,610.94638886585,0.0,0.0,0.0,0.0,0.0,585.2505800447583,2085.2068000856543,0.0,4096.290780289942,2233.133961778246,1169.5268652905834,0.0,4060.2576948409333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,103.038933923835,348.0,103.04,22,inf,,103.04_348.0,103_348.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3121.5896283657457,6079.66370245045,9835.282880299485,2958.439640983983,1258.8294398201208,0.0,6641.219068813029,0.0,3448.9863409411414,0.0,0.0,0.0,2884.3609033070084,0.0,0.0
204,103.075292625476,402.0,103.08,8,inf,,103.08_402.0,103_402.0,,0.0,495.7916848902042,535.4348892771583,1838.461455167421,0.0,0.0,0.0,0.0,0.0,0.0,3192.1716904326627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,104.008642813947,275.0,104.01,5,inf,,104.01_275.0,104_275.0,,0.0,1020.2114258936041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613.8155096639458,1609.5879359640414
210,104.008634318118,351.0,104.01,5,inf,,104.01_351.0,104_351.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1977.23909791215,1549.3205081343374
214,104.03024263166,709.0,104.03,10,inf,,104.03_709.0,104_709.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2775.568455218459,1508.7439967788166,5870.526338470246,0.0
215,104.030216042663,558.0,104.03,4,inf,,104.03_558.0,104_558.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10193.79311647223,1117.4741053558375,0.0,0.0,0.0
218,104.030574048236,210.0,104.03,6,inf,,104.03_210.0,104_210.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11059.791410924236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2646.688416643825,0.0,0.0,0.0,0.0,0.0
219,104.030230722678,502.0,104.03,5,inf,,104.03_502.0,104_502.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4021.8886710725915,0.0,0.0,0.0
220,104.030227267854,665.0,104.03,4,inf,,104.03_665.0,104_665.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,726.5343878247709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1278.1296689669666,0.0,1942.9407449858961,0.0
224,104.070525999565,222.0,104.07,4,inf,,104.07_222.0,104_222.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3511.6990280254663,0.0,0.0,0.0,0.0
229,104.907791301346,279.0,104.91,11,inf,,104.91_279.0,104_279.0,,0.0,0.0,0.0,0.0,4012.210308178704,1616.1012614126666,0.0,0.0,3551.785460007783,0.0,0.0,0.0,0.0,0.0,3251.6815981262876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,978.2858044775209,0.0,0.0,0.0
230,104.907800470994,308.0,104.91,10,inf,,104.91_308.0,104_308.0,,0.0,0.0,0.0,0.0,892.8764423405083,7791.686642251192,0.0,0.0,1392.9412634905127,0.0,0.0,0.0,0.0,0.0,2637.045255448146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,105.069820644948,295.0,105.07,4,inf,,105.07_295.0,105_295.0,,1550.4296077852625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1343.1296202917417,0.0,0.0,0.0,0.0
242,105.06986482112,329.0,105.07,9,inf,,105.07_329.0,105_329.0,,2367.6686133341914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1922.4642987803873,0.0,0.0,1606.6493983109415,0.0
243,105.069850811988,275.0,105.07,21,inf,,105.07_275.0,105_275.0,,6747.295550231843,1958.7415687867958,0.0,2223.2057573546667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2143.5697492651375,0.0,2014.237910882129,0.0,781.3940335963416,0.0,0.0,579.8248302210292,527.0774785538791,0.0,0.0,0.0
